Model,R_squared,Adj_R_squared,RMSE_pct,MAE_pct,AIC,BIC,Recent_RMSE_2022_2025,N_observations,N_parameters,Jarque_Bera_pvalue,Breusch_Godfrey_pvalue,White_test_pvalue,Normality_Pass,No_Autocorr_Pass,Homoscedasticity_Pass
Enhanced,0.9738312716063827,0.9718182924991814,0.1462322529250251,0.11848415896023964,-366.66671125540546,-348.5008723044633,0.18709323823653942,99,7,0.8145655863206733,6.320566364833677e-17,0.003642642407433152,Yes,No,No
Vol Adjusted,0.9858055395084971,0.9845438096870303,0.10769890961114842,0.08744115188812371,-425.22633219906874,-404.46537339799204,0.1180462229558328,99,8,0.6601034860914363,1.7963032727003574e-11,0.7623060229284373,Yes,No,Yes
Quadratic,0.9749032378013389,0.9726724144947912,0.143205833372293,0.11194273832311179,-368.8075133101573,-348.0465545090806,0.1865432183398679,99,8,0.1205446449577793,1.1267701080000488e-16,7.575292828571947e-05,Yes,No,No
