Model,R2,RMSE_bps,MAE_bps,Parameters,Beta_Type
Static OLS,0.9554025931356391,17.511454536630698,12.730766947326352,2,Constant
Linear ECM,0.9786517686629427,12.11569599395103,10.050265331251145,4,Constant + ECM
2-Regime S-curve ECM,0.9980734029313455,3.837340874889744,2.765946240920031,~12/regime,Gompertz S-curve + ECM
Enhanced v2.0 (AR-smoothed),0.9870471324158815,10.2880916410095,7.992428697789154,8,Logistic S-curve + Vol + AR
