Parameter,Estimate,Naive SE,Sandwich SE,SE Ratio,t-stat,p-value,Sig.
alpha,0.07318727906197652,0.0318856810227403,0.05470769265313316,1.7157448390114862,1.3377877134393277,0.1809656481989257,
k,0.566127933330631,0.006725728929515346,0.0008503288447920676,0.12642924710516723,665.7752901103423,0.0,***
m,3.9192512302943707,0.003786741997801636,0.00021846590524472536,0.05769231317358142,17939.875908343813,0.0,***
beta_min,0.43338678468627306,0.0013035791648107842,0.00025177995459981314,0.1931451202937562,1721.2918533372183,0.0,***
beta_max,0.8,0.001524005439319294,0.00019089032980239946,0.12525567486666042,4190.888039368583,0.0,***
gamma_fhlb,1.0494167932811624,0.12325434711318278,0.17650396128227264,1.4320303130581793,5.9455707716547535,2.7549518222258484e-09,***
lambda_up,0.2550958090619203,0.0007223921818231644,0.00011584855461441156,0.16036795182643648,2201.9766229365314,0.0,***
lambda_down,0.22284327448588875,0.006154568089404145,0.007567190062353694,1.2295241440876337,29.448616018582694,0.0,***
