rate,beta,mmda,effective_duration_yrs,effective_convexity,pass_through_up_100,pass_through_down_100,asymmetry_ratio,dbeta_dr
0.25,0.47387892714501395,0.38385633178625345,2.6306053642749303,-0.12260335384919169,50.57414855315401,9.497252333973204,5.325134757027648,0.024520670769838337
0.5,0.4793085029244575,0.5050408514622288,2.603457485377713,-0.1291982426491367,52.146323748578894,21.615704301570737,2.41242769594444,0.02583964852982734
0.75,0.4853434911278359,0.6293942183458769,2.5732825443608203,-0.13592706792339493,53.92712826967936,34.05104098993556,1.5837145263717904,0.027185413584678984
1.0,0.49202022170428683,0.7574068217042867,2.5398988914785656,-0.14273278031368286,55.91996848012436,46.85230132577654,1.1935372838862823,0.028546556062736574
1.25,0.49936897385423484,0.8895978173177935,2.5031551307288256,-0.15466709743580956,58.121675645071655,50.57414855315401,1.1492368590742115,0.03093341948716191
1.5,0.5074116592986785,1.0265040889480177,2.4629417035066075,-0.16805851663305477,60.521228499618076,52.146323748578894,1.1606039340340146,0.03361170332661095
1.75,0.5161593720243831,1.1686655010426705,2.4192031398780847,-0.1814290601939525,63.0987665772226,53.92712826967936,1.1700746653887606,0.0362858120387905
2.0,0.5256099532527652,1.3166065065055303,2.3719502337361744,-0.19450833129723205,65.82507561640085,55.91996848012436,1.1771300555726487,0.03890166625944641
2.25,0.5357457661193378,1.47081457376851,2.3212711694033112,-0.20699688714680725,68.66171445486027,58.121675645071655,1.1813443724909003,0.04139937742936145
2.5,0.5465319095776794,1.6317163739441984,2.267340452111603,-0.21857717791710946,71.56190826851294,60.521228499618076,1.1824265638814697,0.04371543558342189
2.75,0.5579151152054169,1.7996531668148965,2.210424423972915,-0.228927647560703,74.47225496175946,63.0987665772226,1.1802489809181147,0.0457855295121406
3.0,0.5698235542231797,1.9748572626695389,2.1508822288841016,-0.2377392015918403,77.33518728884661,65.82507561640085,1.174859072365871,0.04754784031836806
3.25,0.5821677287129577,2.157431718317113,2.0891613564352114,-0.24473282379812694,80.09201881468884,68.66171445486027,1.1664727488807227,0.04894656475962539
3.5,0.5948425304655223,2.347335456629328,2.025787347672389,-0.24967680889435712,82.68629924800722,71.56190826851294,1.1554512901779963,0.04993536177887142
3.75,0.6077304310486643,2.544375716432491,1.9613478447566783,-0.2524019428160812,85.06713721437933,74.47225496175946,1.1422661667306506,0.05048038856321624
4.0,0.6207056338895013,2.748209135558005,1.8964718305524935,-0.25281305176442725,87.19213390867475,77.33518728884661,1.1274574608804904,0.05056261035288545
4.25,0.6336388956385886,2.958351906464001,1.8318055218070572,-0.25089566110996303,89.02961576099493,80.09201881468884,1.1115916050994963,0.050179132221992606
4.5,0.6464026331354222,3.1741984491094,1.7679868343228888,-0.2467170181347983,90.5599508347529,82.68629924800722,1.0952231705542586,0.04934340362695966
4.75,0.6588758923318494,3.3950470885762845,1.705620538340753,-0.24042136280312543,91.77586244007236,85.06713721437933,1.07886388838968,0.048084272560625085
5.0,0.6709487749289506,3.6201304746447525,1.6452561253552473,-0.23221997935732958,92.6817879149846,87.19213390867475,1.0629604271576851,0.046443995871465915
5.25,0.682525993156943,3.8486480640739504,1.5873700342152852,-0.22237712590580633,93.29244484317441,89.02961576099493,1.0478810229075286,0.044475425181161266
5.5,0.6935293377194416,4.079797957456929,1.532353311402792,-0.21119333352070196,93.63084250771409,90.5599508347529,1.033910041186149,0.04223866670414039
5.75,0.7038989761699145,4.312805712977008,1.4805051191504277,-0.19898773852298768,93.72600542750425,91.77586244007236,1.021248974679947,0.039797547704597536
6.0,0.7135936256324331,4.5469483537945985,1.4320318718378344,-0.1860810520932707,93.6106616569214,92.6817879149846,1.0100221818410389,0.03721621041865414
6.25,0.7225897460009111,4.7815725125056945,1.3870512699954447,-0.17278051249395104,93.31910241146,93.29244484317441,1.0002857418768212,0.03455610249879021
6.5,0.730879966543703,5.01610638253407,1.3456001672814848,-0.15936777104874678,92.88535635079826,93.63084250771409,0.9920380277815529,0.031873554209749355
6.75,0.7384709877410445,5.2500657672520505,1.3076450612947776,-0.14609021264289562,92.34175572577632,93.72600542750425,0.9852308897059426,0.029218042528579125
7.0,0.7453811957662588,5.4830549703638125,1.2730940211687058,-0.13315578083010565,91.71791333519907,93.6106616569214,0.9797806329106297,0.02663115616602113
